person_name,Time,Comments,Language
KumarBhatia1806,2 months ago on,heartbeat india,en
AdityaP20525346,6 months ago on,disappointed,en
KumarBhatia1806,2 weeks ago on,believe,en
AdityaP20525346,a week ago on,revered place,en
Vinitmakwana,5 months ago on,sri ram janma boomi nothing place sri rama took birth must visit place,en
Vinitmakwana,4 weeks ago on,extreme level security unknown reason,en
Randeepgiri1,a month ago on,ayodhya trip,en
IndiaMeriJaan14,2 months ago on,high light ayodhya visit,en
Randeepgiri1,5 months ago on,ayodhya visit,en
IndiaMeriJaan14,2 weeks ago on,ram lalla ayodhya,en
Sarika54853698,4 months ago on,great pm great bharat,en
Pradeep31647753,5 months ago on,shri ram janma bhoomi,en
up32wale,2 months ago on,majestic temple,en
Sarika54853698,6 months ago on,jai shri ram,en
Pradeep31647753,4 months ago on,good place well worth visit,en
up32wale,4 days ago on,shri ram janam bhoomi,en
mehakkQ,5 months ago on,dream come true,en
